21-03-2024 16:39:49.002Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:39:51.135Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:39:52.649Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:39:52.652Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:39:52.653Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 20
21-03-2024 16:40:13.435Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:40:15.542Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:40:17.072Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:40:17.074Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:40:17.075Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 21
21-03-2024 16:42:39.017Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:42:41.135Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:42:42.633Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:42:42.635Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:42:42.636Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 1
21-03-2024 16:43:03.392Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:43:05.517Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:43:06.981Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:43:06.982Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:43:06.984Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 2
21-03-2024 16:43:27.626Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:43:29.759Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:43:31.281Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:43:31.282Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:43:31.283Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 3
21-03-2024 16:43:51.970Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:43:54.102Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:43:55.393Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:43:55.394Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:43:55.396Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 4
21-03-2024 16:44:16.032Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:44:18.166Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:44:19.972Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:44:19.973Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:44:19.974Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 5
21-03-2024 16:44:40.641Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:44:42.758Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:44:44.331Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:44:44.332Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:44:44.333Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 6
21-03-2024 16:45:04.969Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:45:07.102Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:45:08.777Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:45:08.779Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:45:08.780Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 7
21-03-2024 16:45:29.501Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:45:31.633Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:45:33.146Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:45:33.148Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:45:33.149Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 8
21-03-2024 16:45:53.875Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:45:56.009Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:45:57.507Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:45:57.508Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:45:57.509Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 9
21-03-2024 16:46:18.181Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:46:20.291Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:46:21.756Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:46:21.758Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:46:21.759Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 10
21-03-2024 16:46:42.406Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:46:44.539Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:46:46.017Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:46:46.018Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:46:46.020Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 11
21-03-2024 16:47:06.656Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:47:08.790Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:47:10.395Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:47:10.398Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:47:10.398Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 12
21-03-2024 16:47:31.030Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:47:33.164Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:47:34.868Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:47:34.869Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:47:34.870Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 13
21-03-2024 16:47:55.515Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:47:57.632Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:48:00.161Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:48:00.163Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:48:00.165Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 14
21-03-2024 16:48:20.859Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:48:23.007Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:48:24.735Z;functions.waitForImage;  LICENCAS EXCEDIDAS image found.
21-03-2024 16:48:24.737Z;functions.movimentacao_bancaria;  LICENCAS EXCEDIDAS
21-03-2024 16:48:24.738Z;functions.movimentacao_bancaria;  TENTANDO NOVAMENTE - 15
21-03-2024 16:48:45.359Z;functions.waitForImage;  IMAGEM BORDERO image found.
21-03-2024 16:48:47.475Z;functions.movimentacao_bancaria;  IMAGEM BORDERO CLICADA.
21-03-2024 16:49:08.515Z;functions.waitForImage;  LICENCAS EXCEDIDAS image not found.
21-03-2024 16:49:09.218Z;functions.movimentacao_bancaria;  ENCONTROU O FILTRO DA MOVIMENTAÇÃO BANCÁRIA
21-03-2024 16:49:09.282Z;functions.movimentacao_bancaria;  CLICA NA ABA SUPERIOR DO FILTRO
21-03-2024 16:49:12.490Z;functions.movimentacao_bancaria;  SELECIONA O FILTRO HOJE
21-03-2024 16:49:18.227Z;functions.waitForImage;  FILTER CLEAN image found.
